Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate
18588,Ez-Thro Dynamite II,40,Consumable,Explosives and Devices,0,200,902369,0,0,0,704898,144771,160516,4,172614,137930,0.32,0.08
18594,Powerful Seaforium Charge,55,Consumable,Explosives and Devices,0,3000,0,0,0,0,0,2787596,3592963,1,2547559,1446788,0.2,0.2
18641,Dense Dynamite,45,Consumable,Explosives and Devices,0,500,1800,0,0,0,1500,290087,277223,6,320915,38257,1.54,0.14
18645,Gnomish Alarm-o-Bot,53,Consumable,Explosives and Devices,0,3000,3409800,0,0,0,1417920,12171575,9337865,4,12284819,0,0,0
18660,World Enlarger,1,Consumable,Explosives and Devices,0,7500,29910136,0,0,0,36559751,57650889,55209583,2,47854954,34729067,0.06,0.06
18984,Dimensional Ripper - Everlook,60,Consumable,Explosives and Devices,0,5000,0,0,0,0,0,178942798,184931480,1,159624132,124913213,0.04,0.04
18986,Ultrasafe Transporter: Gadgetzan,60,Consumable,Explosives and Devices,0,5000,214670459,0,0,0,206452244,248815318,200873248,1,183933597,131909028,0.06,0.06
22728,Steam Tonk Controller,55,Consumable,Explosives and Devices,0,5000,16666544,0,0,0,16666544,8784674,7053870,2,9457700,665043,0.01,0.01
23736,Fel Iron Bomb,60,Consumable,Explosives and Devices,10000,2500,304283,0,0,0,482684,704226,701378,8,653211,371743,0.12,0.02
23737,Adamantite Grenade,65,Consumable,Explosives and Devices,10000,2500,10026196,9990000,13,11,6680065,1497087,899182,7,1352896,12507,0.15,0.03
23764,Adamantite Scope,67,Consumable,Explosives and Devices,0,2500,95626577,0,0,0,85777958,82072747,97526344,1,49694147,23615935,0.08,0.08
23765,Khorium Scope,72,Consumable,Explosives and Devices,0,2500,0,0,0,0,0,67023537,132847215,1,70593875,0,0,0
23766,Stabilized Eternium Scope,75,Consumable,Explosives and Devices,0,20000,487385327,337616442,1,1,483973096,290522502,279780029,1,273397534,390479664,0.25,0.25
23767,Crashin' Thrashin' Robot,55,Consumable,Explosives and Devices,0,5000,12610874,12230000,3,3,22017191,50049759,48942641,2,46145242,33379111,0.06,0.06
23819,Elemental Seaforium Charge,70,Consumable,Explosives and Devices,0,6000,0,0,0,0,0,892894,1215321,1,568739,807388,1,0.5
23821,Zapthrottle Mote Extractor,61,Consumable,Explosives and Devices,0,15000,96193155,0,0,0,73219250,60368163,71011998,1,61585421,32058890,0.02,0.02
23826,The Bigger One,65,Consumable,Explosives and Devices,0,3000,34989524,34910000,1,1,34098008,36738559,35858561,2,25963927,13289063,0.05,0.05
23841,Gnomish Flame Turret,70,Consumable,Explosives and Devices,0,3000,0,0,0,0,0,1232884,891807,4,530143,0,0,0
30542,Dimensional Ripper - Area 52,70,Consumable,Explosives and Devices,0,5000,0,0,0,0,0,169220161,194846499,1,168195402,137846324,0.08,0.08
30544,Ultrasafe Transporter: Toshley's Station,70,Consumable,Explosives and Devices,0,5000,0,0,0,0,0,233414940,233907310,1,225011302,154274812,0.06,0.06
32413,Frost Grenade,65,Consumable,Explosives and Devices,0,2500,0,0,0,0,179500,606797,180325,7,605450,286232,4.03,0.31
34113,Field Repair Bot 110G,70,Consumable,Explosives and Devices,0,10000,13013116,13000000,10,2,12626192,23720704,29188638,20,26138453,17252240,1.12,0.08
37567,Healing Injector Kit,80,Consumable,Explosives and Devices,0,1351,0,0,0,0,0,9786727,2345757,8,1535780,4053,0,0
40536,Explosive Decoy,80,Consumable,Explosives and Devices,0,1000,1100867,100000,144,9,790995,404168,300885,19,418542,63,1.15,0.05
40727,Gnomish Gravity Well,85,Consumable,Explosives and Devices,0,80507,84913413,0,0,0,221170289,104319025,84315461,1,104357653,39288474,0.03,0.03
40768,MOLL-E,80,Consumable,Explosives and Devices,0,0,31009398,29900000,4,4,26474342,44710143,39211868,2,39857325,21600142,0.04,0.04
40769,Scrapbot Construction Kit,80,Consumable,Explosives and Devices,0,1875,4903402,4780000,100,11,4131247,7363907,6904785,33,8152758,4510245,1.96,0.07
40771,Cobalt Frag Bomb,71,Consumable,Explosives and Devices,0,600,694456,73529,57,3,774938,1851747,3434242,24,1105945,224135,2.07,0.09
40772,Gnomish Army Knife,71,Consumable,Explosives and Devices,0,2256,11865447,0,0,0,10720128,9920754,10515311,2,9256377,5156131,0.09,0.09
40892,Hammer Pick,10,Consumable,Explosives and Devices,0,750,3300937,2247000,1,1,4860196,2065147,1981607,1,2504769,1073637,0.05,0.05
40893,Bladed Pickaxe,1,Consumable,Explosives and Devices,0,625,22865387,24549999,2,2,14328763,3686676,7580642,1,3205195,1519782,0.05,0.05
41119,Saronite Bomb,75,Consumable,Explosives and Devices,0,250,0,0,0,0,2500,584621,51689,35,347733,0,0,0
41146,Sun Scope,75,Consumable,Explosives and Devices,0,50000,411669700,337260348,1,1,275709539,21742813,25226966,2,16893025,14532304,0.06,0.06
41167,Heartseeker Scope,80,Consumable,Explosives and Devices,0,25000,19960873,20001040,2,2,22941619,34848428,32050658,2,24521215,21175033,0.05,0.05
42546,Mana Injector Kit,80,Consumable,Explosives and Devices,0,1351,2573828,0,0,0,2573828,1483751,790742,11,1089604,0,0,0
42641,Global Thermal Sapper Charge,75,Consumable,Explosives and Devices,0,5000,0,0,0,0,0,309858,265116,10,171433,3069,0,0
44739,Diamond-Cut Refractor Scope,75,Consumable,Explosives and Devices,0,35000,8282408,11993732,5,5,2731952,3246578,3320828,3,2350425,2298943,0.12,0.06
47828,Goblin Beam Welder,80,Consumable,Explosives and Devices,0,250,0,0,0,0,4430000,7134049,7410894,1,5803583,2827118,0.04,0.04
48933,Wormhole Generator: Northrend,80,Consumable,Explosives and Devices,0,5000,104620130,79999998,1,1,90822987,99550813,94855291,1,98066364,80306433,0.04,0.04
59594,Gnomish X-Ray Scope,85,Consumable,Explosives and Devices,0,25000,46680240,0,0,0,48104493,46168046,43543110,1,38102467,27103630,0.07,0.07
59595,R19 Threatfinder,85,Consumable,Explosives and Devices,0,25000,7634007,5779998,6,6,6729832,4634691,4358730,2,4580870,1619593,0.02,0.02
59596,Safety Catch Removal Kit,85,Consumable,Explosives and Devices,0,25000,4374064,3999999,6,6,2927268,3435121,3539717,3,3001722,734038,0.02,0.01
60223,High-Powered Bolt Gun,85,Consumable,Explosives and Devices,0,22500,10319175,13898267,1,1,6241551,8268220,10546277,1,7850967,2082805,0.01,0.01
60853,Volatile Seaforium Blastpack,81,Consumable,Explosives and Devices,0,900,0,0,0,0,3221100,2741973,3884399,6,2325770,1264325,0.16,0.04
60854,Loot-A-Rang,85,Consumable,Explosives and Devices,0,22500,61985136,62304938,1,1,54912794,68307082,74068165,2,66664675,48188631,0.05,0.05
63396,Big Daddy,85,Consumable,Explosives and Devices,0,750,1827523,0,0,0,2254238,2483703,1037667,13,2304800,0,0,0
70139,Flintlocke's Woodchucker,85,Consumable,Explosives and Devices,0,25000,49798461,48999999,2,2,50224383,62997015,61822866,1,52771277,68474197,0.14,0.14
77529,Lord Blastington's Scope of Doom,90,Consumable,Explosives and Devices,0,25000,121686092,0,0,0,64378153,41906021,54921166,1,33645519,47487542,0.09,0.09
77531,Mirror Scope,90,Consumable,Explosives and Devices,0,25000,35823631,24999999,6,6,52867865,9353731,11242225,3,7699323,8509830,0.1,0.05
77532,Locksmith's Powderkeg,85,Consumable,Explosives and Devices,0,900,4069878,4927090,1,1,2987444,1631713,1305367,9,1569936,258549,0.35,0.05
77589,G91 Landshark,90,Consumable,Explosives and Devices,0,2500,78402,143738,13,9,33373,185375,217649,11,159312,66872,0.3,0.03
87215,Wormhole Generator: Pandaria,90,Consumable,Explosives and Devices,0,5000,125929585,0,0,0,88011571,92665275,109117117,1,98300381,71893099,0.03,0.03
87216,Thermal Anvil,90,Consumable,Explosives and Devices,0,250,84230,39996,14,14,219308,177841,148326,10,179682,83147,1.53,0.17
108745,Personal Hologram,1,Consumable,Explosives and Devices,0,300000,9735391,8759993,11,11,7874298,10282437,9198356,2,8929868,4546251,0.1,0.05
109120,Oglethorpe's Missile Splitter,100,Consumable,Explosives and Devices,0,30000,12097308,3697500,6,6,8931697,3969381,3466675,2,3656607,2687648,0.08,0.04
109122,Megawatt Filament,100,Consumable,Explosives and Devices,0,300000,9056935,15000000,3,3,14277022,4805548,4985668,2,4449127,6500815,0.12,0.06
109167,Findle's Loot-A-Rang,100,Consumable,Explosives and Devices,0,22500,2293901,1999995,4,4,4325503,7004604,6405796,3,6959035,3876720,0.14,0.07
109183,World Shrinker,1,Consumable,Explosives and Devices,0,7500,35698012,49999995,3,3,12300702,13775213,13952723,2,12495380,8606708,0.16,0.08
109253,Ultimate Gnomish Army Knife,90,Consumable,Explosives and Devices,0,2256,1344271,0,0,0,724224,1139128,689442,9,915469,508741,1.26,0.21
109574,GUMM-E,1,Consumable,Explosives and Devices,16000,4000,23911606,25601712,3,3,13884419,16550107,16942769,1,13803191,2989467,0.04,0.04
111820,Swapblaster,1,Consumable,Explosives and Devices,0,75000,13436148,18490000,1,1,7243856,23817098,22599525,3,23993682,14105931,0.42,0.14
112059,Wormhole Centrifuge,100,Consumable,Explosives and Devices,0,5000,9065041,8995299,8,8,8887661,13649822,10722294,2,11025636,7119926,0.04,0.02
115511,Bizmo's Big Bang Boom Bomb,100,Consumable,Explosives and Devices,5000,250,0,0,0,0,7777777,3794975,0,0,2582476,0,0,0
115512,Gazlowe's Gargantuan Grenade,100,Consumable,Explosives and Devices,5000,250,30399999,0,0,0,29368421,24266590,0,0,647096,13600,0,0
118007,Mecha-Blast Rocket,100,Consumable,Explosives and Devices,0,1500,188958,45000,396,48,56105,13550,9617,55,16029,7924,4.4,0.1
118008,Hemet's Heartseeker,100,Consumable,Explosives and Devices,0,300000,4811428,5000000,2,2,3368451,5039722,4920207,2,5044456,1922905,0.04,0.02
132509,Deployable Bullet Dispenser,80,Consumable,Explosives and Devices,0,1000,3616117,3497400,3,2,2887542,4132468,4011880,8,3816573,2089002,0.7,0.1
132510,Gunpowder Charge,85,Consumable,Explosives and Devices,0,750,64021,62500,1345,72,67103,179335,173883,133,252543,111125,24.6,0.15
132511,Pump-Action Bandage Gun,110,Consumable,Explosives and Devices,0,750,3401563,0,0,0,5864659,5302471,5849573,4,5468240,4708292,0.63,0.21
132513,Gunpack,105,Consumable,Explosives and Devices,0,875,8046113,10000000,20,1,3531512,5270065,5478504,14,5347479,4501760,2.34,0.26
132514,Auto-Hammer,105,Consumable,Explosives and Devices,0,875,1523081,1430000,1312,101,1837636,2489309,2193939,132,2679776,1746838,35.2,0.32
132515,Failure Detection Pylon,105,Consumable,Explosives and Devices,0,875,1638752,1477491,713,84,1352275,1863176,1787451,88,2092083,1417581,15.84,0.22
132516,Gunshoes,105,Consumable,Explosives and Devices,0,875,800140,625000,106,10,1257033,1678837,1755978,35,2185240,957742,2.2,0.1
132517,Intra-Dalaran Wormhole Generator,105,Consumable,Explosives and Devices,0,875,11188320,18478076,9,9,7810872,35582866,35071039,2,33133748,14140648,0.02,0.01
132518,Blingtron's Circuit Design Tutorial,105,Consumable,Explosives and Devices,0,875,17907935,14559999,7,7,25387767,39663622,34286646,4,36238791,18653816,0.39,0.13
132519,Trigger,105,Consumable,Explosives and Devices,0,875,97485819,78880000,7,7,106640480,107825126,105519205,1,88087386,42288666,0.04,0.04
132524,Reaves Module: Wormhole Generator Mode,105,Consumable,Explosives and Devices,0,875,165565713,163983030,5,5,181470296,145364722,175359260,1,169718794,78175129,0.08,0.08
132525,Reaves Module: Repair Mode,105,Consumable,Explosives and Devices,0,875,58333241,65789999,19,11,38002821,77786087,74100115,2,85020695,41191843,0.02,0.02
132526,Reaves Module: Failure Detection Mode,105,Consumable,Explosives and Devices,0,875,121421903,143182327,2,2,120701149,114980850,110268177,2,115501404,59991116,0.03,0.03
132528,Reaves Module: Fireworks Display Mode,105,Consumable,Explosives and Devices,0,875,131420927,146646550,2,2,190611475,160717575,125245158,2,136241039,79854325,0.04,0.04
132530,Reaves Module: Bling Mode,105,Consumable,Explosives and Devices,0,875,623265494,678421156,3,3,331712384,597586309,404173174,1,431041765,219741509,0.06,0.06
132531,Reaves Module: Piloted Combat Mode,105,Consumable,Explosives and Devices,0,875,0,0,0,0,2961538461,1550245196,1616667250,1,1529820518,0,0,0
136851,Commander Domitille's Helm,1,Consumable,Explosives and Devices,0,0,15464614,13178030,1,1,20556378,83837528,82020045,1,92391735,9135329,0.02,0.02
151652,Wormhole Generator: Argus,110,Consumable,Explosives and Devices,0,5000,19464746,10000000,2,2,8662060,13858967,10586815,5,13113891,3325220,0.24,0.08
118,Minor Healing Potion,5,Consumable,Potion,0,5,20172,20721,2,2,16129,79969,35990,12,42915,13589,1.82,0.14
858,Lesser Healing Potion,13,Consumable,Potion,100,25,8676,4850,67,50,12462,18721,17071,20,21380,3606,1.36,0.08
929,Healing Potion,22,Consumable,Potion,300,75,4683,4658,35,6,4880,20962,21713,12,19643,9414,2.52,0.18
1710,Greater Healing Potion,31,Consumable,Potion,500,125,17515,27239,6,4,12192,28353,29326,10,30563,13393,2.75,0.25
2455,Minor Mana Potion,15,Consumable,Potion,40,10,47647,446665,14,2,8629,89795,20008,11,33094,5420,0.5,0.05
2456,Minor Rejuvenation Potion,15,Consumable,Potion,0,15,12917,0,0,0,5324,24570,30559,10,32474,12070,0.84,0.07
2459,Swiftness Potion,15,Consumable,Potion,0,25,810386,1996598,234,38,509644,507936,403296,34,478025,345013,18.86,0.46
3385,Lesser Mana Potion,24,Consumable,Potion,120,30,122612,1001,17,8,7473,23830,12593,13,17690,4457,0.9,0.09
3386,Potion of Curing,55,Consumable,Potion,0,35,0,0,0,0,16086,375360,583804,7,283018,651573,0.44,0.11
3387,Limited Invulnerability Potion,50,Consumable,Potion,0,30,0,0,0,0,0,3710945,4108658,3,1374775,451207,0.09,0.09
3823,Lesser Invisibility Potion,33,Consumable,Potion,0,100,200002,209999,41,41,372123,284989,254083,24,462450,213362,2.3,0.1
3827,Mana Potion,32,Consumable,Potion,480,120,7909,9800,10,6,18276,61733,49854,5,48767,22444,1.44,0.24
3928,Superior Healing Potion,45,Consumable,Potion,1000,250,3895,2253,36,5,7114,33452,15232,23,27266,7043,3.78,0.14
4596,Discolored Healing Potion,15,Consumable,Potion,0,25,0,0,0,0,10075,684053,0,0,49650,2813,1,1
4623,Lesser Stoneshield Potion,43,Consumable,Potion,0,375,1358253,1451261,5,5,1426814,282754,366732,3,280396,0,0,0
5631,Rage Potion,14,Consumable,Potion,0,30,0,0,0,0,315238,905805,916984,3,1698222,821668,0.07,0.07
5633,Great Rage Potion,35,Consumable,Potion,0,150,219546,0,0,0,299043,1885039,3484119,1,1422468,487554,0.18,0.09
5634,Free Action Potion,30,Consumable,Potion,0,75,5932309,6494916,6,6,5619041,1306994,1220266,7,1475651,545725,0.24,0.04
6048,Shadow Protection Potion,27,Consumable,Potion,0,100,12000036,13420094,7,6,33498112,14087928,12074952,4,14565036,6429793,0.06,0.03
6049,Fire Protection Potion,33,Consumable,Potion,0,170,128544825,0,0,0,66843309,18547828,17640857,2,5621429,5975320,0.1,0.1
6050,Frost Protection Potion,38,Consumable,Potion,0,300,0,0,0,0,0,3132783,3776837,2,2464656,907718,0.13,0.13
6051,Holy Protection Potion,20,Consumable,Potion,0,62,0,0,0,0,229589,708389,1257424,6,869029,57014,0.25,0.05
6052,Nature Protection Potion,38,Consumable,Potion,0,300,0,0,0,0,22138,284415,169032,7,281129,174408,0.24,0.04
6149,Greater Mana Potion,41,Consumable,Potion,1200,300,17897,22449,13,5,16605,63506,42191,10,83319,21768,1.3,0.13
6372,Swim Speed Potion,20,Consumable,Potion,0,35,254587,17800,119,16,85050,68927,63042,10,86514,28461,1.1,0.11
9030,Restorative Potion,42,Consumable,Potion,0,200,0,0,0,0,0,6103971,5822095,3,3906569,0,0,0
9144,Wildvine Potion,45,Consumable,Potion,0,250,0,0,0,0,0,25189465,26743091,1,21541779,8347625,0.06,0.06
9172,Invisibility Potion,47,Consumable,Potion,0,500,844800,0,0,0,811570,2359409,2498435,11,2428068,1595569,0.88,0.08
12190,Dreamless Sleep Potion,45,Consumable,Potion,0,250,920843,957999,10,10,918245,1156525,1668956,2,1170796,454280,0.04,0.02
13442,Mighty Rage Potion,51,Consumable,Potion,0,500,503944,0,0,0,354006,289108,385173,9,192732,98252,0.35,0.05
13443,Superior Mana Potion,51,Consumable,Potion,1600,400,458782,665000,4,3,43146,87064,97979,4,67341,33982,0.39,0.13
13444,Major Mana Potion,59,Consumable,Potion,6000,1500,2772,2794,21,8,2398,9296,5660,14,10991,3487,2.25,0.15
13446,Major Healing Potion,55,Consumable,Potion,4000,1000,3077,2508,31,12,2571,11786,11142,27,14298,5594,4.96,0.16
13455,Greater Stoneshield Potion,56,Consumable,Potion,0,750,0,0,0,0,0,2449694,2203706,4,1966661,1371289,0.22,0.11
13456,Greater Frost Protection Potion,58,Consumable,Potion,0,750,0,0,0,0,0,8032066,9614635,2,7190877,3730881,0.09,0.09
13457,Greater Fire Protection Potion,58,Consumable,Potion,0,750,213200,0,0,0,544629,1420939,1633743,5,1142067,554024,0.24,0.06
13458,Greater Nature Protection Potion,58,Consumable,Potion,0,750,20000000,0,0,0,20000000,2844356,3290775,2,2401351,3200041,0.11,0.11
13459,Greater Shadow Protection Potion,58,Consumable,Potion,0,750,0,0,0,0,0,7235048,12107507,1,6361673,481902,0.07,0.07
13460,Greater Holy Protection Potion,58,Consumable,Potion,0,750,0,0,0,0,0,15219938,18602335,1,9549116,0,0,0
13461,Greater Arcane Protection Potion,58,Consumable,Potion,0,750,4919566,11522519,2,2,18901908,12207663,17356409,1,11247327,9729394,0.22,0.22
13462,Purification Potion,57,Consumable,Potion,0,750,159999,0,0,0,159999,718608,825140,6,440519,452489,0.36,0.06
13506,Potion of Petrification,60,Consumable,Potion,0,1250,0,0,0,0,0,1831156,692759,7,2390686,237500,1.5,0.5
18253,Major Rejuvenation Potion,60,Consumable,Potion,0,1000,0,0,0,0,0,938429,1825180,3,1535157,105934,0.07,0.07
20002,Greater Dreamless Sleep Potion,60,Consumable,Potion,0,1000,29981558,29981558,1,1,25279223,7488784,8870388,1,4710336,4500,0,0
20008,Living Action Potion,57,Consumable,Potion,2400,600,182467,0,0,0,1008311,2438009,2466301,6,1515535,492866,0.2,0.05
22826,Sneaking Potion,63,Consumable,Potion,0,2500,409282,405148,7,6,516844,4235872,4064658,2,2733180,1087008,0.1,0.05
22828,Insane Strength Potion,64,Consumable,Potion,0,2500,0,0,0,0,0,2103826,1802184,3,1725110,1035500,0.8,0.2
22829,Super Healing Potion,65,Consumable,Potion,20000,5000,20289,12600,35,14,13113,68818,23939,15,53357,19017,2.55,0.15
22832,Super Mana Potion,68,Consumable,Potion,20000,5000,7932,6824,14,3,10917,16744,15286,10,20408,9607,1.65,0.15
22836,Major Dreamless Sleep Potion,70,Consumable,Potion,0,5000,0,0,0,0,1773976,1506990,4262407,3,1337978,754880,0.18,0.06
22837,Heroic Potion,70,Consumable,Potion,0,5000,0,0,0,0,0,722690,639615,15,487612,0,0,0
22838,Haste Potion,70,Consumable,Potion,0,5000,0,0,0,0,0,2470460,3488137,6,1915183,44299,0.2,0.05
22839,Destruction Potion,70,Consumable,Potion,0,5000,0,0,0,0,739999,3734623,5588071,3,5625918,3130733,0.09,0.09
22841,Major Fire Protection Potion,70,Consumable,Potion,0,5000,45167072,54435488,9,9,28989873,16576767,17662387,4,17861576,11286261,0.36,0.09
22842,Major Frost Protection Potion,70,Consumable,Potion,0,5000,24451056,16999996,4,4,19911752,16411015,17026756,4,14992610,8769619,0.32,0.08
22844,Major Nature Protection Potion,70,Consumable,Potion,0,5000,25481834,16999996,5,5,26117869,16889682,14988882,3,18356498,12225686,0.36,0.12
22845,Major Arcane Protection Potion,70,Consumable,Potion,20000,5000,23684591,21423700,10,10,29115986,16560642,18690156,3,16084140,11640741,0.24,0.08
22846,Major Shadow Protection Potion,70,Consumable,Potion,20000,5000,13614558,16999996,24,24,17340159,12854486,13289518,4,17155298,9847355,0.24,0.08
22847,Major Holy Protection Potion,70,Consumable,Potion,0,5000,39734821,46838831,15,15,31383956,18378342,19763995,3,17456327,12140501,0.24,0.08
22850,Super Rejuvenation Potion,75,Consumable,Potion,0,7000,854158,651925,1,1,603899,159274,130546,3,146680,46965,0.12,0.06
22871,Shrouding Potion,67,Consumable,Potion,0,5000,0,0,0,0,0,7144532,3498820,1,6234485,5770702,0.5,0.5
28100,Volatile Healing Potion,60,Consumable,Potion,4000,1000,311385,309302,7,6,106325,72478,78470,9,73305,38605,0.4,0.05
28101,Unstable Mana Potion,62,Consumable,Potion,6000,1500,0,0,0,0,4500,2550879,3821898,3,3342477,376449,0.12,0.04
32902,Bottled Nethergon Energy,68,Consumable,Potion,0,25,6380,6700,20,5,4575,68350,62333,30,65766,8737,0.58,0.02
32905,Bottled Nethergon Vapor,65,Consumable,Potion,0,25,23936,23593,5,2,32612,317142,228232,13,264148,73070,0.44,0.04
33093,Mana Potion Injector,69,Consumable,Potion,0,5000,0,0,0,0,0,55547,0,0,77563,0,0,0
33447,Runic Healing Potion,80,Consumable,Potion,24000,6000,8953,7235,15,7,8720,54547,36755,14,41854,18143,2.7,0.15
33448,Runic Mana Potion,80,Consumable,Potion,24000,6000,9330,10017,11,11,10038,36840,24101,12,35566,12383,1.26,0.09
34440,Mad Alchemist's Potion,75,Consumable,Potion,0,7000,2774268,4882153,1,1,3803565,284075,291839,9,236773,9328,0.16,0.02
39671,Resurgent Healing Potion,75,Consumable,Potion,0,5000,216477,15125,40,2,382213,174443,181493,13,165065,79296,1.12,0.08
40067,Icy Mana Potion,75,Consumable,Potion,0,5000,1830225,2743799,2,2,1405170,243498,535625,5,265790,134250,0.3,0.06
40077,Crazy Alchemist's Potion,80,Consumable,Potion,0,2500,0,0,0,0,7500,1022330,1484276,5,1096637,29342,0.54,0.06
40081,Potion of Nightmares,80,Consumable,Potion,0,5000,1772666,2822718,12,3,215350,358244,361748,7,377228,151740,0.1,0.02
40087,Powerful Rejuvenation Potion,80,Consumable,Potion,0,5000,1733183,0,0,0,1460263,1674869,1192325,6,614782,273288,0.16,0.04
