Id,Name,Level,Class,SubClass,VendorBuy,VendorSell,MarketValue,MinBuyout,Quantity,NumAuctions,HistoricalPrice,RegionMarketAvg,RegionMinBuyoutAvg,RegionQuantity,RegionHistoricalPrice,RegionSaleAvg,RegionAvgDailySold,RegionSaleRate
4358,Rough Dynamite,10,Consumable,Explosives and Devices,0,30,39199,37561,11,3,35943,30159,33607,23,36392,5376,0.78,0.03
4360,Rough Copper Bomb,14,Consumable,Explosives and Devices,0,60,80995,146233,30,2,86808,94086,89226,16,90969,38286,0.26,0.02
4365,Coarse Dynamite,20,Consumable,Explosives and Devices,0,75,58949,0,0,0,49810,60521,58341,19,50769,2167,0.75,0.05
4366,Target Dummy,17,Consumable,Explosives and Devices,0,75,25823,5584,8,8,107281,261292,169421,9,322053,81197,0.32,0.04
4367,Small Seaforium Charge,20,Consumable,Explosives and Devices,0,150,110486,119369,6,1,90316,685118,754538,1,534934,156664,1,0.25
4370,Large Copper Bomb,26,Consumable,Explosives and Devices,0,175,0,0,0,0,1166,68439,45217,22,55082,0,0,0
4374,Small Bronze Bomb,29,Consumable,Explosives and Devices,0,200,0,0,0,0,0,76803,108424,3,49782,0,0,0
4378,Heavy Dynamite,30,Consumable,Explosives and Devices,1400,350,8222703,0,0,0,3349268,528219,237777,16,249731,69755,0.54,0.06
4380,Big Bronze Bomb,33,Consumable,Explosives and Devices,0,500,619952,908700,19,1,486052,183815,167996,6,156357,9550,2.04,0.17
4384,Explosive Sheep,30,Consumable,Explosives and Devices,0,1000,1222645,0,0,0,1651081,2759066,3151978,10,2089403,1386047,0.99,0.11
4386,Ice Deflector,31,Consumable,Explosives and Devices,0,175,0,0,0,0,0,1253288,1500000,1,1270751,0,0,0
4388,Discombobulator Ray,32,Consumable,Explosives and Devices,0,1000,38272332,30108458,1,1,28974136,36495529,35577961,1,36460548,1718750,0.01,0.01
4390,Iron Grenade,35,Consumable,Explosives and Devices,0,500,180452,0,0,0,161542,143473,95451,28,91468,7557,1.38,0.06
4391,Compact Harvest Reaper Kit,35,Consumable,Explosives and Devices,0,4000,0,0,0,0,0,1387944,1638968,1,1557856,777047,0.08,0.08
4392,Advanced Target Dummy,37,Consumable,Explosives and Devices,0,2500,4506805,3940000,10,5,4395447,8367269,11033500,7,4098337,6332557,0.95,0.19
4394,Big Iron Bomb,43,Consumable,Explosives and Devices,0,750,375000,0,0,0,1769018,1685112,1743428,18,1322469,1684937,1.6,0.1
4395,Goblin Land Mine,39,Consumable,Explosives and Devices,0,1600,0,0,0,0,0,252443,213288,2,156329,0,0,0
4398,Large Seaforium Charge,40,Consumable,Explosives and Devices,0,900,388243,419437,10,1,330796,3652404,4270971,1,4590904,1753711,0.13,0.13
4405,Crude Scope,12,Consumable,Explosives and Devices,0,125,1265113,1751746,1,1,623548,611670,583415,2,371196,149493,0.18,0.09
4406,Standard Scope,22,Consumable,Explosives and Devices,0,600,4670258,0,0,0,4628399,3899917,2873538,4,4134178,2889430,1.44,0.48
4407,Accurate Scope,36,Consumable,Explosives and Devices,0,1200,1589293,0,0,0,1523634,2201651,2593080,4,1960795,2054219,0.48,0.24
5507,Ornate Spyglass,27,Consumable,Explosives and Devices,0,600,2156855,3000000,3,3,1383927,3183451,1728235,2,2752344,764360,0.04,0.04
6714,Ez-Thro Dynamite,25,Consumable,Explosives and Devices,0,75,0,0,0,0,0,108863,106320,16,119404,49754,2.5,0.25
7148,Goblin Jumper Cables,33,Consumable,Explosives and Devices,0,21,28008433,28690159,2,2,19919657,37110200,38859716,1,28438547,16770582,0.06,0.06
10507,Solid Dynamite,35,Consumable,Explosives and Devices,0,350,542596,1260000,30,11,632419,488815,676767,31,538800,872735,2.16,0.08
10514,Mithril Frag Bomb,43,Consumable,Explosives and Devices,0,750,1648,0,0,0,1837,596474,415282,12,418760,200000,0,0
10546,Deadly Scope,42,Consumable,Explosives and Devices,0,1500,0,0,0,0,0,2253011,2426718,1,1858641,1586145,0.26,0.26
10548,Sniper Scope,48,Consumable,Explosives and Devices,0,2500,477768339,329744242,1,1,328598724,18020567,36680542,1,17372085,12221377,0.15,0.15
10562,Hi-Explosive Bomb,47,Consumable,Explosives and Devices,0,750,33187,0,0,0,34085,345515,203392,29,309076,147690,0.72,0.03
10586,The Big One,45,Consumable,Explosives and Devices,0,750,38948790,0,0,0,37047167,48236011,67844012,6,40208753,976942,0.08,0.04
10646,Goblin Sapper Charge,41,Consumable,Explosives and Devices,0,500,0,0,0,0,2086,1505185,1632172,1,900933,1634906,0.25,0.25
11590,Mechanical Repair Kit,40,Consumable,Explosives and Devices,0,250,0,0,0,0,0,240849,194651,2,369894,690161,0.08,0.08
15993,Thorium Grenade,52,Consumable,Explosives and Devices,0,1500,0,0,0,0,0,189229,351645,10,399364,0,0,0
16040,Arcane Bomb,60,Consumable,Explosives and Devices,0,4000,0,0,0,0,0,15328949,30481918,2,18905260,0,0,0
17716,Snowmaster 9000,38,Consumable,Explosives and Devices,0,7500,66063683,65388101,4,4,71490309,42790257,40664271,1,37492136,24707866,0.03,0.03
18232,Field Repair Bot 74A,60,Consumable,Explosives and Devices,0,10000,6441855,4585500,12,8,7040330,20762739,20959178,10,15279113,7850574,0.72,0.09
18587,Goblin Jumper Cables XL,53,Consumable,Explosives and Devices,0,2000,91118101,0,0,0,57389097,58445935,67569111,1,58620420,3379166,0.02,0.02
